Json,2354
Xml,12787
Msgp,201
ProtoBuf,507
GogoProtoBuf,413
Thrift,1303
Avro,26255
Gencode,148
UgorjiCodecAndCbor,884
UgorjiCodecAndMsgp,1319
UgorjiCodecAndBinc,1458
UgorjiCodecAndJson,1199
Easyjson,707
Ffjson,2286
Jsoniter,808
GJSON,2668
GoMemdump,1500
Colfer,247
Zebrapack,323
Gotiny,488
Hprose,664
Sereal,699
Msgpackv2,1731
Rlp,1019
SegmentioJSON,663
